global_acc_list,global_loss_list
0.8345238095238096,"tf.Tensor(1.69178, shape=(), dtype=float32)"
0.8378571428571429,"tf.Tensor(1.6769587, shape=(), dtype=float32)"
0.8395238095238096,"tf.Tensor(1.6830659, shape=(), dtype=float32)"
0.8416666666666667,"tf.Tensor(1.6780862, shape=(), dtype=float32)"
0.8607142857142858,"tf.Tensor(1.6575788, shape=(), dtype=float32)"
0.8811904761904762,"tf.Tensor(1.6495018, shape=(), dtype=float32)"
0.8480952380952381,"tf.Tensor(1.6681966, shape=(), dtype=float32)"
0.8673809523809524,"tf.Tensor(1.6481264, shape=(), dtype=float32)"
0.8769047619047619,"tf.Tensor(1.6418396, shape=(), dtype=float32)"
0.8509523809523809,"tf.Tensor(1.666536, shape=(), dtype=float32)"
0.8766666666666667,"tf.Tensor(1.64344, shape=(), dtype=float32)"
0.8028571428571428,"tf.Tensor(1.712748, shape=(), dtype=float32)"
0.8754761904761905,"tf.Tensor(1.651024, shape=(), dtype=float32)"
0.8809523809523809,"tf.Tensor(1.6448554, shape=(), dtype=float32)"
0.9,"tf.Tensor(1.6258535, shape=(), dtype=float32)"
0.8942857142857142,"tf.Tensor(1.6267078, shape=(), dtype=float32)"
0.8878571428571429,"tf.Tensor(1.6299552, shape=(), dtype=float32)"
0.8954761904761904,"tf.Tensor(1.6272776, shape=(), dtype=float32)"
0.8592857142857143,"tf.Tensor(1.6599841, shape=(), dtype=float32)"
0.829047619047619,"tf.Tensor(1.6667455, shape=(), dtype=float32)"
0.8476190476190476,"tf.Tensor(1.6785033, shape=(), dtype=float32)"
0.8476190476190476,"tf.Tensor(1.6613102, shape=(), dtype=float32)"
0.8347619047619048,"tf.Tensor(1.6742196, shape=(), dtype=float32)"
0.8826190476190476,"tf.Tensor(1.6322565, shape=(), dtype=float32)"
0.8661904761904762,"tf.Tensor(1.6604505, shape=(), dtype=float32)"
0.8859523809523809,"tf.Tensor(1.6357378, shape=(), dtype=float32)"
0.8783333333333333,"tf.Tensor(1.6369599, shape=(), dtype=float32)"
0.8911904761904762,"tf.Tensor(1.6414421, shape=(), dtype=float32)"
0.8738095238095238,"tf.Tensor(1.6448162, shape=(), dtype=float32)"
0.8983333333333333,"tf.Tensor(1.6244987, shape=(), dtype=float32)"
0.8840476190476191,"tf.Tensor(1.636174, shape=(), dtype=float32)"
0.8511904761904762,"tf.Tensor(1.6655478, shape=(), dtype=float32)"
0.8519047619047619,"tf.Tensor(1.6597579, shape=(), dtype=float32)"
0.8397619047619047,"tf.Tensor(1.6625123, shape=(), dtype=float32)"
0.8216666666666667,"tf.Tensor(1.6730261, shape=(), dtype=float32)"
0.8069047619047619,"tf.Tensor(1.6936107, shape=(), dtype=float32)"
0.909047619047619,"tf.Tensor(1.6187893, shape=(), dtype=float32)"
0.8888095238095238,"tf.Tensor(1.6348326, shape=(), dtype=float32)"
0.9088095238095238,"tf.Tensor(1.611134, shape=(), dtype=float32)"
0.8847619047619047,"tf.Tensor(1.6305753, shape=(), dtype=float32)"
0.8673809523809524,"tf.Tensor(1.6460778, shape=(), dtype=float32)"
0.8747619047619047,"tf.Tensor(1.6415869, shape=(), dtype=float32)"
0.8819047619047619,"tf.Tensor(1.6309389, shape=(), dtype=float32)"
0.8973809523809524,"tf.Tensor(1.6170743, shape=(), dtype=float32)"
0.8978571428571429,"tf.Tensor(1.6218432, shape=(), dtype=float32)"
0.8788095238095238,"tf.Tensor(1.6379123, shape=(), dtype=float32)"
0.8445238095238096,"tf.Tensor(1.6704515, shape=(), dtype=float32)"
0.8797619047619047,"tf.Tensor(1.642623, shape=(), dtype=float32)"
0.8778571428571429,"tf.Tensor(1.6389935, shape=(), dtype=float32)"
0.8304761904761905,"tf.Tensor(1.6792057, shape=(), dtype=float32)"
0.8492857142857143,"tf.Tensor(1.662472, shape=(), dtype=float32)"
0.8361904761904762,"tf.Tensor(1.6631631, shape=(), dtype=float32)"
0.8721428571428571,"tf.Tensor(1.6373694, shape=(), dtype=float32)"
0.9088095238095238,"tf.Tensor(1.6092536, shape=(), dtype=float32)"
0.8976190476190476,"tf.Tensor(1.6169431, shape=(), dtype=float32)"
0.8652380952380953,"tf.Tensor(1.6485292, shape=(), dtype=float32)"
0.8714285714285714,"tf.Tensor(1.6466292, shape=(), dtype=float32)"
0.8604761904761905,"tf.Tensor(1.6543193, shape=(), dtype=float32)"
0.8914285714285715,"tf.Tensor(1.623897, shape=(), dtype=float32)"
0.893095238095238,"tf.Tensor(1.621425, shape=(), dtype=float32)"
0.9104761904761904,"tf.Tensor(1.6091243, shape=(), dtype=float32)"
0.8933333333333333,"tf.Tensor(1.6189342, shape=(), dtype=float32)"
0.8714285714285714,"tf.Tensor(1.6435446, shape=(), dtype=float32)"
0.8807142857142857,"tf.Tensor(1.6361054, shape=(), dtype=float32)"
0.910952380952381,"tf.Tensor(1.606276, shape=(), dtype=float32)"
0.9035714285714286,"tf.Tensor(1.6124728, shape=(), dtype=float32)"
0.8814285714285715,"tf.Tensor(1.6365569, shape=(), dtype=float32)"
0.8928571428571429,"tf.Tensor(1.6245123, shape=(), dtype=float32)"
0.8609523809523809,"tf.Tensor(1.6519805, shape=(), dtype=float32)"
0.8904761904761904,"tf.Tensor(1.6239231, shape=(), dtype=float32)"
0.8907142857142857,"tf.Tensor(1.6209015, shape=(), dtype=float32)"
0.9097619047619048,"tf.Tensor(1.6076865, shape=(), dtype=float32)"
0.888095238095238,"tf.Tensor(1.62348, shape=(), dtype=float32)"
0.8666666666666667,"tf.Tensor(1.6462121, shape=(), dtype=float32)"
0.9095238095238095,"tf.Tensor(1.6121452, shape=(), dtype=float32)"
0.8952380952380953,"tf.Tensor(1.6188265, shape=(), dtype=float32)"
0.9004761904761904,"tf.Tensor(1.6130388, shape=(), dtype=float32)"
0.9047619047619048,"tf.Tensor(1.6104342, shape=(), dtype=float32)"
0.8869047619047619,"tf.Tensor(1.6260737, shape=(), dtype=float32)"
0.905952380952381,"tf.Tensor(1.608212, shape=(), dtype=float32)"
0.8921428571428571,"tf.Tensor(1.6168778, shape=(), dtype=float32)"
0.8942857142857142,"tf.Tensor(1.6141511, shape=(), dtype=float32)"
0.9097619047619048,"tf.Tensor(1.611376, shape=(), dtype=float32)"
0.9057142857142857,"tf.Tensor(1.6064322, shape=(), dtype=float32)"
0.9085714285714286,"tf.Tensor(1.6126409, shape=(), dtype=float32)"
0.9047619047619048,"tf.Tensor(1.6139437, shape=(), dtype=float32)"
0.9130952380952381,"tf.Tensor(1.6050268, shape=(), dtype=float32)"
0.8895238095238095,"tf.Tensor(1.6276369, shape=(), dtype=float32)"
0.8807142857142857,"tf.Tensor(1.6321183, shape=(), dtype=float32)"
0.878095238095238,"tf.Tensor(1.6352987, shape=(), dtype=float32)"
0.8828571428571429,"tf.Tensor(1.642303, shape=(), dtype=float32)"
